ID;Year;Default;WC/TA;RE/TA;EBIT/TA;ME/TL;S/TA
29;2002;0;-0.0824395;0.0522444;0.0341347;0.3623388;0.1128975
29;2003;0;-0.0046203;0.0588700;0.0537000;0.4620960;0.1406544
29;2004;0;0.0139736;0.0882463;0.0394436;0.5718476;0.1276740
30;1999;0;0.2477270;0.5590112;0.0759664;0.8421642;0.2706635
30;2000;0;0.0625806;0.4558149;0.0507104;0.4861991;0.2671269
30;2001;0;0.1728288;0.4164148;0.0619220;0.5019067;0.2568413
30;2002;0;0.2419014;0.4766986;0.0623055;0.5608639;0.2377693
30;2003;0;0.3393165;0.5583938;0.0367514;1.1812890;0.2573811
30;2004;0;0.3347945;0.5799221;0.0393806;1.4320980;0.2149388
31;1999;0;0.1337662;0.1156021;0.0670527;2.9198160;0.1487952
31;2000;0;0.0677302;-0.0345308;0.0633827;4.5922160;0.1969015
31;2001;0;0.1341617;0.0105093;0.0722553;4.2992450;0.1887236
31;2002;0;0.2699828;0.1403718;0.0672454;2.8178320;0.1752724
31;2003;0;0.2362805;0.1484031;0.0520659;2.6201760;0.1650954
31;2004;0;0.1988320;0.1717258;0.0701910;2.4185090;0.1680003
32;1998;0;0.2983375;-0.2038270;0.0422880;0.8261407;0.1393813
32;1999;0;0.4127881;-0.0994645;0.0721906;0.8709304;0.1773069
32;2000;0;0.4063268;-0.0248615;0.0302599;0.8445791;0.1395032
32;2001;0;0.5533480;0.0353321;0.1000707;0.9807217;0.2042172
32;2002;0;0.6390239;0.0884141;0.0712330;1.2032760;0.1988394
32;2003;0;0.4581893;0.2016821;0.1010294;4.6682410;0.2431599
33;1999;0;-0.0407641;0.1280075;0.0472190;1.8144830;0.1326595
33;2000;0;-0.1137070;0.0559180;0.0476815;0.4987954;0.0884017
33;2001;0;0.0181609;0.0105394;0.0332938;0.5884548;0.1050269
33;2002;0;0.1049351;-0.2717500;0.0431000;0.5073115;0.1925668
33;2003;0;0.0598078;-0.2715030;0.0414647;0.5034928;0.2017887
33;2004;0;0.0438595;-0.6036902;0.0459352;0.6182249;0.2441158
34;1999;0;0.1681868;0.0813730;0.0988004;0.4764682;0.6863579
34;2000;1;0.0776813;-0.0395945;-0.0215026;0.1375913;0.6972486
35;1995;0;0.1003113;0.2196817;0.0720090;1.4256850;0.4055828
35;1996;0;0.1393442;0.2809871;0.0749375;1.8055600;0.3912629
35;1997;0;0.1524512;0.3325150;0.0469597;2.2849370;0.4080981
35;1998;0;0.0879232;0.3065318;0.0516069;1.3987760;0.3188359
35;1999;0;0.0170854;0.3459317;0.0779527;1.1336170;0.3433690
35;2000;0;0.0411713;0.3821371;0.0681247;1.4786210;0.3241476
35;2001;0;0.0643010;0.3728356;0.0552927;1.5425120;0.2707321
35;2002;0;0.1244439;0.4395358;0.0778176;2.1141420;0.2705186
35;2003;0;0.0992853;0.4630910;0.0554349;2.3652860;0.2614055
35;2004;0;0.1557691;0.4675415;0.0751955;3.2346570;0.2656960
36;1995;0;0.3929992;0.3542419;0.1191954;20.7611200;0.2403565
36;1996;0;0.3410496;0.3460765;0.1283971;20.5323700;0.2517729
36;1997;0;0.2780009;0.3318722;0.1105865;14.4408300;0.2238332
36;1998;0;0.2932805;0.2705303;0.1170573;24.0132500;0.2448399
36;1999;0;0.3202287;0.2635872;0.1170469;58.2407700;0.2656699
36;2000;0;0.4142915;0.2900993;0.0984591;60.6071500;0.2016231
36;2001;0;0.4701967;0.2912308;0.0905501;48.1661000;0.2030892
36;2002;0;0.2400523;-0.0130957;0.0637901;10.1025400;0.1102178
36;2003;0;0.2398523;0.0022066;0.0624724;11.7707900;0.1182947
36;2004;0;0.2022552;-0.0493447;0.0691913;8.5940380;0.1419399
37;1999;0;0.4548325;0.5483496;0.0661018;15.4337900;0.2255579
37;2000;0;0.5932394;0.4322469;0.0961470;11.0634400;0.2103657
37;2001;0;0.6225024;0.4534070;0.0325551;6.7588430;0.1171642
37;2002;0;0.6605110;0.4633385;0.0411700;4.7396300;0.1283827
37;2003;0;0.6140646;0.6496065;0.0615459;20.2497900;0.1795655
38;1999;0;0.0045983;0.7289928;0.0546098;3.8062620;0.2341209
38;2000;0;0.0240056;0.7998298;0.0658868;4.6304570;0.2424487
38;2001;0;0.0112771;0.8160158;0.0696605;4.1021820;0.2507063
38;2002;0;0.0228120;0.8572971;0.0633349;3.7643050;0.2516942
38;2003;0;0.0172844;0.9303100;0.0648558;3.6266260;0.2464987
38;2004;0;0.0137669;0.9164745;0.0659919;2.9843020;0.2367379
39;1999;0;0.0300655;0.1293724;0.0562646;1.5196290;0.1015269
39;2000;0;0.0534086;0.1978588;0.0946492;2.3265660;0.1395051
39;2001;0;0.0535892;0.1625123;0.0432847;1.5425220;0.0944135
39;2002;0;0.0503187;0.1734554;0.0613924;1.8367040;0.1064154
39;2003;0;0.0402337;0.2207867;0.0661922;2.2587950;0.1224747
39;2004;0;0.0310561;0.2653861;0.0824814;2.2955280;0.1274105
40;1999;0;0.5495237;0.3426271;0.0287042;4.9760350;0.2820864
40;2000;0;0.5286320;0.3921312;0.0418164;3.1194190;0.2922615
40;2001;0;0.6241252;0.3892401;0.0453023;2.6194740;0.2732157
40;2002;0;0.6241283;0.3871965;0.0391855;2.3887380;0.2611822
40;2003;0;0.5542732;0.3756112;0.0254200;2.9237780;0.2787563
41;1995;0;0.5265989;0.3789400;0.1112808;7.6321410;0.3447435
41;1996;0;0.5077029;0.4652754;0.0685195;3.7883370;0.2784179
41;1997;0;0.4919395;0.4420608;0.0655432;5.7823730;0.2713920
41;1998;0;0.5177966;0.4989333;0.0459402;7.0701610;0.1696954
41;1999;0;0.5418288;0.4925842;0.0864018;14.3785600;0.2751034
41;2000;0;0.6026078;0.5141205;0.1161964;12.5590300;0.3100156
41;2001;0;0.6828960;0.6144755;0.0366167;12.5564900;0.1719864
41;2002;0;0.6675553;0.6045817;0.0299865;11.2704400;0.1678529
41;2003;0;0.6718374;0.5969767;0.0444705;17.3171100;0.1581991
41;2004;0;0.6822965;0.6318011;0.0801296;9.6945480;0.2132472
42;1999;0;0.0752385;0.2680420;0.0511225;1.0329670;0.1437753
42;2000;0;0.2262993;1.1465310;0.0567399;0.3633778;0.3552266
42;2001;0;0.0625379;1.4250610;0.0918916;0.3704802;0.3722892
42;2002;0;0.0862271;1.6396460;0.0862491;1.3386760;0.4403574
42;2003;0;0.1084200;1.4269610;0.0847693;1.6462510;0.4371004
42;2004;0;0.1927708;1.3247350;0.0821502;2.3179560;0.4746397
43;1999;0;0.1685336;0.1457139;0.0359983;1.1924180;0.2543359
43;2000;0;0.1581957;0.1190226;0.0347112;0.7371832;0.3726566
43;2001;0;0.1874052;0.1080415;0.0443699;1.0566150;0.3958379
43;2002;0;0.1935553;0.1045080;0.0368969;0.9930890;0.4774275
43;2003;0;0.2137164;0.1184524;0.0480099;0.8632246;0.5028610
43;2004;0;0.2225340;0.1377296;0.0585801;0.9548845;0.5307557
44;1999;0;-0.0288629;0.0787077;0.0805412;0.4920900;0.6403344
44;2000;0;-0.0382983;0.1601096;0.0781541;0.7521614;0.5720385
44;2001;0;-0.0005945;0.2386088;0.0442771;1.8511150;0.4874698
44;2002;0;0.0509871;0.2280715;0.0586595;1.6420220;0.5294065
44;2003;0;0.0183232;0.3129576;0.0617234;2.6608820;0.5896371
44;2004;0;0.0651102;0.3420269;0.0742653;3.3621950;0.5964028
45;1999;0;0.0884313;0.2612759;0.0522676;0.4137651;0.1980777
45;2000;0;0.1942322;0.2843583;0.0245007;0.0624359;0.2128185
45;2001;0;0.2236337;0.2773873;0.0307087;0.0709767;0.2011024
46;1999;0;0.4390986;0.2834233;0.0486470;0.8592473;0.5720859
46;2000;0;0.4481829;0.2108822;0.0696289;0.5098602;0.5323963
46;2001;0;0.4824365;0.2642479;0.0418282;0.8529687;0.4095592
46;2002;0;0.4273390;0.1787487;0.0297491;0.3994548;0.4468185
46;2003;0;0.4309105;0.2061900;0.0467891;0.6399634;0.4954613
46;2004;0;0.4530819;0.2710560;0.0403897;0.8841590;0.5203143
47;1999;0;0.0866611;0.1857547;0.0514998;0.5513126;0.4202897
48;1999;0;0.1281570;0.2945104;0.0359338;0.5978976;0.3283157
48;2000;0;0.0950247;0.2555084;0.0365832;0.5174998;0.3436896
48;2001;0;0.1265944;0.2873408;0.0398659;0.6043081;0.3441310
48;2002;0;0.1013065;0.2944230;0.0474491;0.4412963;0.3271676
48;2003;0;0.1177858;0.2838850;0.0217369;0.5040076;0.3213614
48;2004;0;0.0970184;0.3208950;0.0347296;0.8576062;0.3512356
49;1997;0;0.0674393;0.1112912;0.0410653;0.8534063;0.1249862
49;1998;0;0.0330590;0.1123030;0.0353539;0.8491557;0.1418041
49;1999;0;0.0000979;0.1187059;0.0372340;0.7282345;0.1316541
49;2000;0;-0.0625070;0.1422310;0.0339094;0.8085718;0.1089415
49;2001;0;-0.0664907;0.1077945;0.0587720;0.4501193;0.0999413
49;2002;0;-0.0916789;0.0886015;0.0500452;0.4845392;0.0962503
49;2003;0;-0.0505375;0.1049079;0.0420529;0.6389566;0.1003668
49;2004;0;0.0362609;0.1109699;0.0570831;0.6234215;0.1381933
50;1999;0;-0.0157647;0.3125674;0.0624686;1.6191680;0.1675776
51;1999;0;0.1953653;0.6544921;0.0888104;15.0125600;0.2768127
51;2000;0;0.1272316;0.2707183;0.0547019;2.7742590;0.1347094
51;2001;0;0.1124950;0.3084756;0.0410134;2.3634490;0.1363351
51;2002;0;0.1153135;0.3513080;0.0491322;2.0758320;0.1243932
51;2003;0;0.1308968;0.3741609;0.0494075;1.4427990;0.1263950
51;2004;0;0.0625248;0.3750849;0.0586428;1.6050670;0.1340913
52;1999;0;0.0866168;0.5072242;0.0775070;4.6538290;0.3848951
52;2000;0;0.0999525;0.5296926;0.0571240;3.2966550;0.3809441
52;2001;0;0.0370150;0.5363771;0.0563266;3.3224810;0.3464972
52;2002;0;-0.0028877;0.4244729;0.0580453;2.6069670;0.3295615
52;2003;0;0.0226544;0.4429864;0.0618440;2.2558130;0.3264381
52;2004;0;0.0758912;0.4618973;0.0472147;2.3479500;0.3674809
53;1999;0;0.5369822;0.5306931;0.0467154;1.0554280;0.5871206
53;2000;0;0.4005607;0.3286434;0.0696921;0.8178079;0.5375082
53;2001;0;0.2361998;0.3240580;0.0462952;0.7691333;0.4556802
53;2002;0;0.4370226;0.2726200;0.0285468;0.9364271;0.4903484
53;2003;0;0.4229479;0.2689032;0.0355638;0.5963097;0.5251141
53;2004;0;0.4092634;0.2936923;0.0348027;0.9755679;0.5739492
54;1999;0;-0.1130542;0.2240309;0.1228992;2.7484410;0.6412140
54;2000;0;0.1058446;0.2900643;0.1258157;3.7582400;0.6172264
54;2001;0;0.1682506;0.3056662;0.1330791;3.3882090;0.5674288
54;2002;0;0.0519481;0.3000780;0.1227248;3.7113810;0.5972953
54;2003;0;0.2164605;0.4437922;0.1382297;5.0357440;0.6158130
54;2004;0;0.2694721;0.5142907;0.1210535;5.7486520;0.5843698
55;1999;0;0.0506790;0.3631188;0.0687227;2.2442640;0.2296947
55;2000;0;0.0142604;0.3737097;0.0574347;1.4741530;0.1974538
55;2001;0;0.0421457;0.4081843;0.0297151;1.7316820;0.2418837
55;2002;0;0.0255755;0.2811111;0.0479270;1.3634540;0.2339195
55;2003;0;0.0163108;0.2721693;0.0458892;1.3528380;0.2359332
55;2004;0;0.0646800;0.2963610;0.0472511;1.5768570;0.2395021
56;1999;0;0.2221183;0.0053950;0.0262776;1.7781810;0.2066645
56;2000;0;0.2602514;-0.0151746;0.0552845;4.0722850;0.2403838
56;2002;0;0.2695813;0.0291421;0.0479294;3.6360780;0.2349073
56;2003;0;0.2147609;0.0240678;0.0576645;3.6762230;0.2510514
56;2004;0;0.2778742;0.0869453;0.0667781;4.9211530;0.2781802
57;1999;0;0.1024623;0.1871433;0.0585390;0.5914276;0.3267243
57;2000;0;0.1469053;0.2236871;0.0666735;0.6917092;0.3465143
57;2001;0;0.1335437;0.1928016;0.0474010;1.1007020;0.3913196
57;2002;0;0.0690212;0.1380256;0.0482503;0.8176708;0.2447781
57;2003;0;0.0453015;0.2164830;0.0512944;1.0743870;0.3212122
57;2004;0;0.0963695;0.2525549;0.0527337;1.5024660;0.3071044
58;1999;0;-0.0146463;0.1830322;0.0383861;0.6897128;0.1108645
58;2000;0;0.0191533;0.1710883;0.0488102;0.7678934;0.1061879
58;2001;0;-0.0865304;0.1553259;-0.0004493;0.4534219;0.0934396
58;2002;0;0.0919007;0.1527679;0.0327258;0.4805025;0.1235142
58;2003;0;0.0751042;0.1430402;0.0395001;0.6020427;0.1784122
58;2004;0;0.0814636;0.1611826;0.0564219;0.6400221;0.2137973
59;1998;0;0.3335125;0.1250451;-0.0005088;0.8125715;0.3012488
60;1999;0;0.1988771;0.2277018;0.0431533;0.5241175;0.1680812
60;2000;0;0.1989920;0.2177234;0.0283127;0.1561665;0.1582756
60;2001;0;0.1990538;0.2031903;0.0394309;0.2289765;0.1745934
60;2002;0;0.2010251;0.0951092;0.0185191;0.1255333;0.0593864
61;1997;0;0.2146350;0.3785835;0.0641209;2.6424690;0.2752812
61;1998;0;0.2012964;0.4299170;0.0696202;5.2131620;0.2809536
61;1999;0;0.1975124;0.4162823;0.0631872;4.9574700;0.2662288
61;2000;0;0.3181982;0.4310189;0.0719149;5.0157670;0.2921278
61;2001;0;0.3679354;0.4589063;0.0760238;7.4873170;0.2844055
61;2002;0;0.3609639;0.4381242;0.0905570;5.6198020;0.2545254
61;2003;0;0.3067388;0.4394222;0.0712051;6.5491450;0.2418857
61;2004;0;0.3664809;0.4791727;0.0746017;10.3459400;0.2286062
62;1997;0;0.0295616;0.2113616;0.0523333;2.1049090;0.1988329
62;1998;0;0.0320886;0.1204487;-0.1636104;1.5499370;0.2857383
62;1999;0;0.0583233;0.1309300;0.0224073;1.8701070;0.3359564
62;2000;0;0.0465585;0.1301238;0.0612711;2.2749370;0.4789336
63;1997;0;0.0938927;0.2566161;0.0394205;7.0842150;0.1205357
63;1998;0;0.1151549;0.2975338;0.0441840;6.9431980;0.1077574
63;1999;0;0.1097150;0.2973789;0.0404543;5.8827770;0.0958083
63;2000;0;0.1410046;0.0963746;0.0688066;4.3216960;0.1108591
63;2001;0;0.1273040;-0.1372899;0.0288510;4.2823450;0.1168975
63;2002;0;0.1959874;-0.1088884;0.0398189;4.3624750;0.1430633
63;2003;0;0.2252343;-0.1012901;0.0390258;6.5302110;0.1255154
63;2004;0;0.2889152;-0.0616663;0.0515133;4.7946160;0.1100164
64;1999;0;0.3833511;0.4247211;0.0652283;1.9500680;0.1685472
64;2000;0;0.2897899;0.4551594;0.0396500;1.0742750;0.1760748
64;2001;0;0.2738202;0.4320144;0.0410545;1.0293400;0.1765687
64;2002;0;0.1917959;0.4560238;0.0535878;1.0606050;0.1876632
64;2003;0;0.2148918;0.5244398;0.0562632;1.5386200;0.2118175
64;2004;0;0.2083302;0.5842505;0.0510845;2.1788380;0.2258180
65;1999;0;0.1523799;0.1412369;0.0750826;2.9317920;0.2245177
65;2000;0;0.0676596;0.0607942;0.0620184;4.2816700;0.2500894
65;2001;0;0.0960341;0.0892115;0.0711389;4.8567890;0.2418929
65;2002;0;0.1212966;0.0533480;0.0763657;1.7725490;0.2090771
65;2003;0;0.1420916;0.0981012;0.0736982;1.8183180;0.2157162
65;2004;0;0.1505066;0.0919941;0.0566941;2.0554610;0.2093435
66;1999;0;0.1185789;0.5589854;0.0715125;2.6515950;0.2314988
66;2000;0;0.1050831;0.5851166;0.0597820;2.6622300;0.2386639
66;2001;0;0.1263257;0.6001212;0.0671065;3.9022260;0.2409942
66;2002;0;0.1520980;0.6369349;0.0605261;2.8837920;0.2354431
66;2003;0;0.2622594;0.6938847;0.0611285;3.4625840;0.2300841
66;2004;0;0.3152603;0.7376394;0.0572462;4.8542240;0.2500330
67;1999;0;-0.0123149;0.0736649;0.0711380;2.0747330;0.2544222
68;1999;0;0.0314829;0.2514330;0.0453792;4.4205290;0.1538646
68;2000;0;-0.0621149;0.0589453;0.0328936;1.0881920;0.1285690
68;2001;0;-0.0735743;0.0597565;0.0478432;0.8244727;0.1158838
68;2002;0;-0.0274996;-0.1260385;0.0598219;1.0139380;0.1703923
68;2003;0;-0.0106835;-0.1132094;0.0505656;1.0725630;0.1693763
68;2004;0;-0.0085240;-0.1164335;0.0454377;1.1036570;0.1861337
69;1999;0;-0.1083333;0.2903281;0.0819078;3.1082690;0.1809295
69;2000;0;-0.0999613;0.2953819;0.0642549;2.2728200;0.1336128
